symbol,ds,current_variable_debt
USDC,2023-01-27,693456.0793829806
USDC,2023-01-28,2462444.000213561
USDC,2023-01-29,4256727.261868036
USDC,2023-01-30,6572650.383960556
USDC,2023-01-31,8969271.41507851
USDC,2023-02-01,9310084.15960536
USDC,2023-02-02,10469003.274474798
USDC,2023-02-03,10744930.91755966
USDC,2023-02-04,12135876.045674628
USDC,2023-02-05,14592632.838635966
USDC,2023-02-06,13997452.858642748
USDC,2023-02-07,15222505.817343146
USDC,2023-02-08,15593170.90073505
USDC,2023-02-09,14226779.227363683
USDC,2023-02-10,15247804.55952986
USDC,2023-02-11,17341041.256975796
USDC,2023-02-12,17635245.307158053
USDC,2023-02-13,18917067.921293814
USDC,2023-02-14,23671521.34843865
USDC,2023-02-15,25243704.25554074
USDC,2023-02-16,25711058.70369987
USDC,2023-02-17,27058985.303027503
USDC,2023-02-18,27206028.81730836
USDC,2023-02-19,30622201.32327976
USDC,2023-02-20,32355003.66376577
USDC,2023-02-21,32894030.162221983
USDC,2023-02-22,33204556.518470258
USDC,2023-02-23,34460283.00654009
USDC,2023-02-24,34449718.08107053
USDC,2023-02-25,34841044.661006816
USDC,2023-02-26,36859017.70704184
USDC,2023-02-27,37098032.37201464
USDC,2023-02-28,39840421.7094582
USDC,2023-03-01,40602277.0590263
USDC,2023-03-02,41278556.6596918
USDC,2023-03-03,41330299.64808199
USDC,2023-03-04,40637439.46195879
USDC,2023-03-05,40684835.004635975
USDC,2023-03-06,40460314.54130947
USDC,2023-03-07,41117279.8126046
USDC,2023-03-08,42912160.74266726
USDC,2023-03-09,42478830.60230076
USDC,2023-03-10,41922875.15229069
USDC,2023-03-11,29312768.6556146
USDC,2023-03-12,29672285.749088828
USDC,2023-03-13,38912618.29118487
USDC,2023-03-14,42539678.73738309
USDC,2023-03-15,49606326.185666345
USDC,2023-03-16,54654418.39131058
USDC,2023-03-17,59544327.91250278
USDC,2023-03-18,59599273.840592496
USDC,2023-03-19,60271071.6616106
USDC,2023-03-20,61946948.151149295
USDC,2023-03-21,64041375.104551606
USDC,2023-03-22,64024673.10822677
USDC,2023-03-23,62270961.56695049
USDC,2023-03-24,61865521.28089817
USDC,2023-03-25,64408136.76790967
USDC,2023-03-26,64430934.9096405
USDC,2023-03-27,64893243.16975139
USDC,2023-03-28,64626648.14005503
USDC,2023-03-29,65235071.949222006
USDC,2023-03-30,65970931.454194106
USDC,2023-03-31,66035639.83583604